id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_posyandu,satuan,tahun
160,32,JAWA BARAT,3277,KOTA CIMAHI,427,UNIT,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,890,UNIT,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,5135,UNIT,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3514,UNIT,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2929,UNIT,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4349,UNIT,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,4304,UNIT,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2413,UNIT,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1608,UNIT,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1435,UNIT,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,2691,UNIT,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1497,UNIT,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1704,UNIT,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2346,UNIT,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,1907,UNIT,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1047,UNIT,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2382,UNIT,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,2482,UNIT,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2340,UNIT,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,531,UNIT,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,980,UNIT,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,461,UNIT,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,1992,UNIT,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,401,UNIT,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,1614,UNIT,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,1049,UNIT,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,410,UNIT,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,894,UNIT,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2022
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,5141,UNIT,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3680,UNIT,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2945,UNIT,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4350,UNIT,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,4334,UNIT,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2392,UNIT,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1612,UNIT,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1436,UNIT,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,2706,UNIT,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1503,UNIT,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1713,UNIT,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2363,UNIT,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1925,UNIT,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1050,UNIT,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2375,UNIT,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,2883,UNIT,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2340,UNIT,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,532,UNIT,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,982,UNIT,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,461,UNIT,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,1999,UNIT,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,345,UNIT,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,1615,UNIT,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,1063,UNIT,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,411,UNIT,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,909,UNIT,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,200,UNIT,2023
