id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jumlah_kasus,satuan,tahun
64,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KUMULATIF,136,ORANG,2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS BARU,0,ORANG,2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KUMULATIF,0,ORANG,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS BARU,18,ORANG,2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KUMULATIF,140,ORANG,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS BARU,0,ORANG,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KUMULATIF,0,ORANG,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS BARU,79,ORANG,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KUMULATIF,540,ORANG,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS BARU,67,ORANG,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KUMULATIF,327,ORANG,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS BARU,0,ORANG,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KUMULATIF,58,ORANG,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS BARU,199,ORANG,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KUMULATIF,2224,ORANG,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS BARU,59,ORANG,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KUMULATIF,876,ORANG,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS BARU,54,ORANG,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KUMULATIF,253,ORANG,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS BARU,87,ORANG,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KUMULATIF,134,ORANG,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS BARU,0,ORANG,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KUMULATIF,0,ORANG,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS BARU,67,ORANG,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KUMULATIF,494,ORANG,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS BARU,0,ORANG,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KUMULATIF,0,ORANG,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,KASUS BARU,4,ORANG,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KUMULATIF,74,ORANG,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS BARU,28,ORANG,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KUMULATIF,543,ORANG,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS BARU,55,ORANG,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KUMULATIF,2218,ORANG,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,KASUS BARU,117,ORANG,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KUMULATIF,408,ORANG,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,KASUS BARU,75,ORANG,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KUMULATIF,487,ORANG,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,KASUS BARU,32,ORANG,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KUMULATIF,291,ORANG,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS BARU,39,ORANG,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KUMULATIF,203,ORANG,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KASUS BARU,96,ORANG,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KASUS KUMULATIF,802,ORANG,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,KASUS BARU,0,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,KASUS KUMULATIF,13,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS BARU,36,ORANG,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,KASUS KUMULATIF,42,ORANG,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS BARU,42,ORANG,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KASUS KUMULATIF,400,ORANG,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS BARU,27,ORANG,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KASUS KUMULATIF,236,ORANG,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS BARU,30,ORANG,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KASUS KUMULATIF,0,ORANG,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS BARU,42,ORANG,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,KASUS KUMULATIF,594,ORANG,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS BARU,68,ORANG,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KUMULATIF,234,ORANG,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS BARU,21,ORANG,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KUMULATIF,341,ORANG,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS BARU,17,ORANG,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KUMULATIF,182,ORANG,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS BARU,127,ORANG,2021
