id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,1,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2018
